Fluorophore,Marker
R670,Vd1
R780,CD45RA
B530,Vd2
B710,CD25
V450,PD1
V525,Viability
V670,CD16
Y590,CD28
Y615,CD27
Y780,CD3
B530B,Perforin
B710B,CD56
V670B,NKG2D
Y780B,NKG2A
